Source,Target
1629,42859
1764,82078
190,1629
1628,9896
1764,19400
447,1628
447,75833
447,32181
190,9778
190,36554
1628,32181
1628,10995
10995,100774
5241,27484
447,1764
7388,100774
447,9896
447,1629
1629,36554
1628,8936
190,42859
17884,42859
190,447
190,12169
1629,10995
1629,10667
9896,27484
190,5241
17887,19400
27484,83934
190,1628
1629,17884
1629,82078
447,19400
8936,17887
190,1764
190,100774
17887,43537
27484,36554
447,100774
5241,10995
447,43537
17884,17887
1629,36705
447,7388
1629,7388
1628,74437
447,27484
447,12169
8936,27484
1628,43537
190,36705
5241,82078
75832,75833
1628,10667
1628,42859
447,10995
5241,32181
19400,36705
1628,1764
1628,27484
1628,100774
190,32181
36554,72000
17887,36705
1628,36554
32181,100774
447,36554
8936,74437
17884,36705
17884,27484
1764,9896
190,19400
190,7388
1628,1629
1629,27484
9896,83934
8936,36705
27484,82078
1628,5241
7388,19400
447,36705
190,74437
1764,12169
9896,75832
190,17887
1628,7388
5241,9778
7388,8936
190,43537
8936,17884
190,72000
447,82474
19400,82078
5241,36705
447,82078
1764,32181
7388,74437
1764,10667
1628,17887
7388,43537
190,82474
190,82078
5241,42859
1764,75832
447,8936
10995,82078
1628,19400
1764,9778
7388,10995
1628,17884
17884,19400
190,27484
447,42859
19400,82474
17884,74437
36554,42859
1628,36705
42859,82078
10995,17884
447,5241
1764,82474
447,72000
27484,74437
82078,100774
10995,32181
1629,17887
447,9778
190,10667
7388,82078
447,17887
1628,82078
9896,82078
5241,36554
190,10995
190,8936
190,9896
1628,82474
447,17884
19400,43537
10995,74437
1629,1764
