Id,Name,Label
1764,Dacheng Tao,CV
447,Qiang Yang,DM&DB
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
72000,Micheline Kamber,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
82078,Yi-Zhou Sun,DM
12169,Ming-Hsuan Yang,CV
10995,Jie Tang,DM
19400,Zheng Chen,DM&NLP&ML
17887,Heng Ji,NLP
9778,Shuicheng Yan,CV
75833,Haitao Zheng,Sys
1629,Philip S. Yu,DM&DB&CV
100774,Hong Cheng,CV&ML&DM
190,Wei Liu,CV&DB&DM&NLP&ML
82474,Chao Zhang,CV&DM&NLP&ML&Sys
27484,Jiawei Han,DM&DB
10667,Thomas S. Huang,CV
74437,Jing Gao,DM
36554,Jian Pei,DM&NLP
36705,Chi Wang,DM&CV
8936,Tarek Abdelzaher,DM
32181,Haixun Wang,DM&DB
83934,Hujun Bao,CV&DB&DM
75832,Ben Y. Zhao,Sys
9896,Gang Wang,CV&NLP&ML&DM
1628,Charu C. Aggarwal,DM
43537,Xiang Ren,DM&Sys
7388,ChengXiang Zhai,DM
42859,Xifeng Yan,DM&DB
